ficto:NarrativeSegment,ficto:involves,ficto:hasNarrativeInstance,ficto:hasFormOfSpeech,cito:cites,prov:value
narr_seg_expr_1.61,sherlock_doyle1,narrator_1.1,direct-speech,methodology,«La nostra anima conserva vaghi ricordi di quei secoli nebulosi in cui il mondo era ancora nella sua infanzia»
narr_seg_expr_1.62,sherlock_doyle1,narrator_1.1,narrated-speech,habit_5,"«Quando tornai con la pistola, la tavola era stata sparecchiata e Holmes era impegnato nella sua attività prediletta, strimpellare il violino»"
narr_seg_expr_1.63,sherlock_doyle1,narrator_1.1,narrated-speech,pers_style_2,«Rispuntò qualche secondo dopo avvolto in un cappottone e una sciarpa»
narr_seg_expr_1.63,,,,pers_style_3,
narr_seg_expr_1.64,sherlock_doyle1,narrator_1.1,narrated-speech,exp_habit_8,"«Appena Holmes entrò gli lessi in faccia che aveva fatto cilecca. Sembrava combattuto tra ilarità e depressione, poi prevalse la prima e si lasciò andare a un grassa risata»"
narr_seg_expr_1.65,sherlock_doyle1,narrator_1.1,narrated-speech,mannerism_3,"«Continuava a fare su e giù per la stanza, con il mento affondato nel petto e le sopracciglia aggrottate, come era solito fare quando rifletteva»"
narr_seg_expr_1.65,,,,mannerism_4,
narr_seg_expr_1.66,sherlock_doyle1,narrator_1.1,narrated-speech,kin_habit_4,"«Signori, vi presento Jefferson Hope, l’assassino di Enoch Drebber e Joseph Stangerson», esclamò con gli occhi che mandavano lampi»"
narr_seg_expr_1.67,sherlock_doyle1,narrator_1.1,narrated-speech,symb_imag_1,"«Ma prima che potesse passare del tutto Gregson, Lestrade e Holmes gli balzarono addosso come tanti cani da caccia»"
narr_seg_expr_1.68,sherlock_doyle1,narrator_1.1,direct-speech,exp_habit_9,"«[…] Per quanto semplice, aveva parecchi punti assai istruttivi»"
narr_seg_expr_1.69,sherlock_doyle1,narrator_1.1,narrated-speech,kin_habit_2,"«Semplice?» Esclamai. «Davvero, non saprei come descriverlo in altro modo» disse Holmes, con un sorriso notando il mio stupore."
narr_seg_expr_1.70,sherlock_doyle1,narrator_1.1,direct-speech,methodology,"«Le ho già spiegato che quanto esula dall'ordinario è più una guida che un ostacolo. Quando devi risolvere un problema del genere è essenziale saper ragionare a ritroso. È una tecnica molto utile, e molto semplice, eppure la gente non la mette quasi mai in pratica. Negli affari di tutti i giorni conviene più ragionare dal presente al futuro, mentre l'inverso, dal presente al passato, tende a essere trascurato. Ci sono cinquanta persone che ragionano in maniera sintetica per una che sa ragionare analiticamente»"
narr_seg_expr_2.1,sherlock_doyle2,narrator_2.1,narrated-speech,name,"«Sherlock Holmes, che aveva l’abitudine di alzarsi molto tardi al mattino, tranne quando, come spesso capitava, rimaneva in piedi tutta la notte, era seduto a tavola per la prima colazione»"
narr_seg_expr_2.1,,,,habit_7,
narr_seg_expr_2.2,sherlock_doyle2,narrator_2.1,narrated-speech,habit_1,"«Watson, lei ha davvero superato se stesso” esclamò Holmes, spingendo indietro la sedia e accendendosi una sigaretta»"
narr_seg_expr_2.3,sherlock_doyle2,narrator_2.1,narrated-speech,recur_p_obj_2,"«Poi, con un’espressione di vivo interesse, posò la sigaretta, si avvicinò alla finestra e lo osservò nuovamente con una lente di ingrandimento»"
narr_seg_expr_2.4,sherlock_doyle2,narrator_2.1,direct-speech,expression_1,"«Interessante, per quanto elementare,» concluse, tirando a sedersi nel suo angolo preferito del divano»"
narr_seg_expr_2.5,sherlock_doyle2,narrator_2.1,direct-speech,occupation_3,"«[…] Che cosa vorrà mai il dottor James Mortimer, uomo di scienza, da Sherlock Holmes, specialista del crimine? Avanti!»"
